Designator	Comment	Footprint	Center-X(mm)	Center-Y(mm)	Rotation	Center-X(Mil)	Center-Y(Mil)	Layer

"AD1"	"BL806G"	"HDR1X06F"	"57.15"	"2.54"	"0"	"2250"	"100"	"Top"
"C1"	"1nF/2kV"	"C-1206"	"8.4"	"51.4"	"180"	"330.709"	"2023.622"	"Top"
"C2"	"100nF/16V"	"C-0402"	"8.1"	"46.8"	"270"	"318.898"	"1842.52"	"Top"
"C3"	"100nF/16V"	"C-0402"	"36.4"	"45.4"	"0"	"1433.071"	"1787.402"	"Top"
"C4"	"2.2uF/16V/X5R"	"C-0603"	"8.95"	"45.1"	"0"	"352.362"	"1775.591"	"Top"
"C5"	"100nF/16V"	"C-0402"	"30.1"	"44"	"270"	"1185.039"	"1732.283"	"Top"
"C6"	"100nF/16V"	"C-0402"	"41.7"	"43.7"	"90"	"1641.732"	"1720.472"	"Top"
"C7"	"100nF/16V"	"C-0402"	"51.7"	"43.7"	"90"	"2035.433"	"1720.472"	"Top"
"C8"	"100nF/16V"	"C-0402"	"41.7"	"41.5"	"270"	"1641.732"	"1633.858"	"Top"
"C9"	"100nF/16V"	"C-0402"	"51.7"	"41.5"	"270"	"2035.433"	"1633.858"	"Top"
"C10"	"2.2uF/16V/X5R"	"C-0603"	"7.9"	"40.7"	"180"	"311.024"	"1602.362"	"Top"
"C11"	"100nF/16V"	"C-0402"	"26.1"	"39.7"	"270"	"1027.559"	"1562.992"	"Top"
"C12"	"100u/10V X5R"	"C-1206"	"7.5"	"38.9"	"180"	"295.276"	"1531.496"	"Top"
"C13"	"1uF/10V/X5R"	"C-0402"	"27"	"37.9"	"0"	"1062.992"	"1492.126"	"Top"
"C14"	"100nF/16V"	"C-0402"	"38.9"	"37.35"	"180"	"1531.496"	"1470.473"	"Top"
"C15"	"100nF/16V"	"C-0402"	"27"	"36.9"	"0"	"1062.992"	"1452.756"	"Top"
"C16"	"100u/10V X5R"	"C-1206"	"19.9"	"33.5"	"90"	"783.465"	"1318.898"	"Top"
"C17"	"10uF/6.3V/X5R"	"C-0603"	"18.1"	"33"	"90"	"712.598"	"1299.213"	"Top"
"C18"	"100nF/16V"	"C-0402"	"14.6"	"32.7"	"90"	"574.803"	"1287.402"	"Top"
"C19"	"10u/10V"	"C-0805"	"13.1"	"32.2"	"90"	"515.748"	"1267.716"	"Top"
"C20"	"22pF"	"C-0402"	"28.3"	"32.25"	"270"	"1114.173"	"1269.685"	"Top"
"C21"	"100nF/16V"	"C-0402"	"32.5"	"32.4"	"0"	"1279.528"	"1275.591"	"Top"
"C22"	"100nF/16V"	"C-0402"	"51.1"	"31.7"	"270"	"2011.811"	"1248.031"	"Top"
